Timestamp,ComputerName,Hostname,Domain,Source,Channel,EventRecordID,EventID,Level,TaskCategory,Keywords,User,Process,IP,Description,Correlation
2025-10-10 05:02:00,CORP-SRV-008,host10.corp.local,CORP.LOCAL,Microsoft-Windows-Sysmon,Security,2000189,1102,Warning,Policy Change,Audit Failure,CORP\Administrator,lsass.exe,10.1.5.123,The audit log was cleared.,{00000000-0000-0000-0000-000000000000}
2025-10-07 14:18:00,CORP-SRV-011,host4.corp.local,CORP.LOCAL,Microsoft-Windows-Eventlog,Security,2000123,4624,Information,Network,Classic,CORP\svc_monitor,svchost.exe,10.1.2.135,An account was successfully logged on. Subject: svc_monitor; Logon Type: 2.,{00000000-0000-0000-0000-000000000000}
2025-10-09 23:17:00,CORP-SRV-001,host6.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,Security,2000185,4688,Information,Network,Audit Failure,SYSTEM,powershell.exe,10.1.3.95,A new process has been created: sqlservr.exe; CommandLine: 'sqlservr.exe --run'.,{00000000-0000-0000-0000-000000000000}
2025-10-11 12:46:00,CORP-SRV-018,host4.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,System,2000213,7036,Information,Logon,Audit Failure,SYSTEM,powershell.exe,10.1.4.31,The service entered the running state.,{00000000-0000-0000-0000-000000000000}
2025-10-07 00:46:00,CORP-SRV-001,host7.corp.local,CORP.LOCAL,Microsoft-Windows-Eventlog,Security,2000106,4776,Warning,Service Control Manager,Security,CORP\alice,svchost.exe,10.1.2.166,The computer attempted to validate the credentials for an account.,{00000000-0000-0000-0000-000000000000}
2025-10-07 17:50:00,CORP-SRV-018,host8.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,2000127,5156,Information,Logon,Application,SYSTEM,sqlservr.exe,10.1.2.162,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-09 14:31:00,CORP-SRV-001,host7.corp.local,CORP.LOCAL,Kernel-Power,Security,2000176,4634,Information,Logon,Audit Failure,CORP\alice,powershell.exe,10.1.1.111,An account was logged off.,{00000000-0000-0000-0000-000000000000}
2025-10-05 09:59:00,CORP-SRV-008,host4.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,2000073,4624,Information,Policy Change,Classic,CORP\svc_backup,powershell.exe,10.1.1.165,An account was successfully logged on. Subject: svc_backup; Logon Type: 3.,{00000000-0000-0000-0000-000000000000}
2025-10-14 02:20:00,CORP-SRV-015,host6.corp.local,CORP.LOCAL,Microsoft-Windows-Sysmon,System,2000275,7045,Information,Service Control Manager,Audit Failure,SYSTEM,lsass.exe,10.1.1.96,A service was installed in the system.,{00000000-0000-0000-0000-000000000000}
2025-10-12 21:26:00,CORP-SRV-010,host3.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,Security,2000242,4776,Warning,Process Creation,Application,CORP\svc_backup,explorer.exe,10.1.4.94,The computer attempted to validate the credentials for an account.,{00000000-0000-0000-0000-000000000000}
2025-10-13 18:18:00,CORP-SRV-017,host7.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,2000266,5156,Information,Logon,Application,SYSTEM,winlogon.exe,10.1.4.204,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-08 10:02:00,CORP-SRV-009,host8.corp.local,CORP.LOCAL,Service Control Manager,Security,2000147,4625,Warning,Logon,Audit Success,-,powershell.exe,10.1.2.131,An account failed to log on. Failure Reason: Unknown username or bad password; Account: N/A.,{00000000-0000-0000-0000-000000000000}
2025-10-15 06:44:00,CORP-SRV-001,host10.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,Security,2000299,4776,Warning,Process Creation,Audit Success,CORP\alice,svchost.exe,10.1.4.113,The computer attempted to validate the credentials for an account.,{00000000-0000-0000-0000-000000000000}
2025-10-04 18:31:00,CORP-SRV-020,host9.corp.local,CORP.LOCAL,DNS Server,Security,2000058,4625,Warning,Network,Classic,CORP\alice,svchost.exe,10.1.3.243,An account failed to log on. Failure Reason: Unknown username or bad password; Account: CORP\alice.,{00000000-0000-0000-0000-000000000000}
2025-10-07 12:56:00,CORP-SRV-012,host3.corp.local,CORP.LOCAL,Service Control Manager,System,2000122,7036,Information,Logon,Audit Failure,SYSTEM,svchost.exe,10.1.5.156,The service entered the running state.,{00000000-0000-0000-0000-000000000000}
2025-10-05 16:44:00,CORP-SRV-014,host9.corp.local,CORP.LOCAL,Microsoft-Windows-Sysmon,Security,2000078,5156,Information,Network,Classic,SYSTEM,explorer.exe,10.1.3.7,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-02 02:52:00,CORP-SRV-010,host2.corp.local,CORP.LOCAL,DNS Server,Security,2000011,5156,Information,Process Creation,Classic,SYSTEM,explorer.exe,10.1.1.156,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-09 07:55:00,CORP-SRV-001,host8.corp.local,CORP.LOCAL,Kernel-Power,Security,2000167,4725,Information,Policy Change,Classic,CORP\itadmin,lsass.exe,10.1.5.227,A user account was disabled.,{00000000-0000-0000-0000-000000000000}
2025-10-11 17:04:00,CORP-SRV-010,host1.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,Security,2000220,5156,Information,Network,Audit Failure,SYSTEM,powershell.exe,10.1.2.50,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-03 02:01:00,CORP-SRV-020,host10.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,System,2000029,1100,Information,Service Control Manager,Audit Failure,SYSTEM,explorer.exe,10.1.5.253,The event logging service has shut down.,{00000000-0000-0000-0000-000000000000}
2025-10-03 01:30:00,CORP-SRV-017,host8.corp.local,CORP.LOCAL,Kernel-Power,Security,2000027,4624,Information,Process Creation,Audit Failure,CORP\svc_backup,powershell.exe,10.1.3.111,An account was successfully logged on. Subject: svc_backup; Logon Type: 3.,{00000000-0000-0000-0000-000000000000}
2025-10-07 05:03:00,CORP-SRV-020,host1.corp.local,CORP.LOCAL,Kernel-Power,Security,2000110,4722,Information,Policy Change,Audit Failure,CORP\itadmin,mimikatz.exe,10.1.1.57,A user account was enabled.,{00000000-0000-0000-0000-000000000000}
2025-10-13 07:01:00,CORP-SRV-014,host2.corp.local,CORP.LOCAL,Microsoft-Windows-Sysmon,Security,2000251,4625,Warning,Logon,Classic,CORP\alice,powershell.exe,10.1.2.52,An account failed to log on. Failure Reason: Unknown username or bad password; Account: CORP\alice.,{00000000-0000-0000-0000-000000000000}
2025-10-02 04:22:00,CORP-SRV-016,host3.corp.local,CORP.LOCAL,Winlogon,Security,2000012,4624,Information,Service Control Manager,Audit Failure,CORP\svc_backup,sqlservr.exe,10.1.3.91,An account was successfully logged on. Subject: svc_backup; Logon Type: 2.,{00000000-0000-0000-0000-000000000000}
2025-10-06 23:21:00,CORP-SRV-009,host6.corp.local,CORP.LOCAL,Winlogon,Security,2000105,5156,Information,Logon,Classic,SYSTEM,lsass.exe,10.1.4.87,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-02 08:12:00,CORP-SRV-001,host9.corp.local,CORP.LOCAL,DNS Server,System,2000018,1100,Information,System,Audit Success,SYSTEM,explorer.exe,10.1.4.186,The event logging service has shut down.,{00000000-0000-0000-0000-000000000000}
2025-10-15 04:46:00,CORP-SRV-003,host8.corp.local,CORP.LOCAL,Winlogon,Security,2000297,4776,Warning,Process Creation,Security,CORP\alice,sqlservr.exe,10.1.3.57,The computer attempted to validate the credentials for an account.,{00000000-0000-0000-0000-000000000000}
